age,food_item,meal_category,review
64,Gajar Halwa,Seafood,Overall
61,Chili Chicken,Healthy,The portion size was generous
16,Prawn Masala,Street Food,but I wouldn't order it again.
26,Baingan Bharta,Indian Curry,It was just alright; I wouldn't go out of my way to have it again.
36,Mutton Rogan Josh,Indian Curry,but the seasoning could improve.
67,Dahi Puri,Cheesy,and the taste lived up to expectations.
48,Pakoras,Cheesy,I enjoyed it
56,Cheese Dosa,Spicy,a satisfying meal that I would recommend.
11,Chili Chicken,Healthy,I enjoyed it
37,Aloo Tikki Chaat,Vegan,and I appreciated the creativity behind it.
16,Aloo Tikki Chaat,Spicy,I appreciated the effort put into the dish
48,Chili Chicken,Snacks,I appreciated the effort put into the dish
47,Methi Paratha,Indian Curry,I was not a fan of the seasoning; it felt a bit off.
69,Gulab Jamun,Chinese,The consistency was a bit strange; not what I expected.
62,Aloo Tikki Chaat,Cheesy,It was okay
40,Butter Chicken,Spicy,It was okay
58,Pav Bhaji,Healthy,I found it to be too oily for my liking.
35,Stuffed Capsicum,Cheesy,The meal was satisfying
59,Kachori,Dessert,The texture was perfect
41,Oats Upma,Spicy,though not memorable.
26,Pav Bhaji,Chinese,The presentation was impressive
69,Paneer Tikka Masala,Vegan,but I wouldn't order it again.
20,Chili Chicken,Street Food,I was left wanting more; it felt incomplete.
11,Fish Curry,Vegan,but I think it could use a bit more spice.
21,Prawn Masala,Seafood,I enjoyed it
47,Aloo Tikki,Cheesy,The meal was satisfying
59,Prawn Masala,Cheesy,The meal had great potential but ultimately fell short.
41,Baingan Bharta,Indian Curry,The flavors were unique
35,Dahi Puri,Seafood,I appreciated the effort put into the dish
43,Spring Rolls,Snacks,making it a memorable dish.
45,Tikki,Cheesy,I found it to be too oily for my liking.
48,Kuchcha Aam Ki Barfi,Vegan,The dish was average; I expected more based on the hype.
43,Sweet and Sour Chicken,Chinese,The meal was satisfying
51,Cheese Naan,Chinese,I enjoyed it
26,Rabri,Spicy,It was quite disappointing; I expected a lot more flavor.
43,Kuchcha Aam Ki Barfi,Dessert,though not memorable.
55,Pav Bhaji,Seafood,The texture was perfect
25,Kachori,Street Food,The dish was average; I expected more based on the hype.
36,Stuffed Capsicum,Dessert,and every bite was a joy!
11,Murukku,Chinese,but I wouldn't order it again.
70,Chana Masala,Snacks,but the seasoning could improve.
23,Malabar Fish Curry,Cheesy,The dish was average; I expected more based on the hype.
25,Grilled Paneer,Healthy,and every bite was a joy!
16,Tikki,Healthy,The portion size was generous
27,Jalebi,Spicy,The ingredients felt fresh
70,Chili Chicken,Dessert,The dish was average; I expected more based on the hype.
20,Ghar Ka Khana,Vegan,The ingredients felt fresh
33,Peda,Healthy,but it missed the mark.
40,Chicken Curry,Seafood,The dish was well-prepared and the flavors were spot on!
35,Chicken Vindaloo,Dessert,The aroma was inviting
23,Murukku,Snacks,but I expected more based on the reviews.
52,Dhokla,Dessert,The meal had great potential but ultimately fell short.
63,Dim Sum,Vegan,The ingredients felt fresh
61,Fish Fry,Street Food,It was fine
12,Chili Chicken,Healthy,but the food was just average.
46,Mutton Rogan Josh,Healthy,The dish was well-prepared and the flavors were spot on!
52,Paneer Tikka,Spicy,I appreciated the effort put into the dish
30,Paneer Tikka,Cheesy,Absolutely loved the spices used; it was a delightful experience!
11,Palak Paneer,Indian Curry,but it missed the mark.
30,Cheese Stuffed Mushroom,Cheesy,It was okay
58,Kung Pao Chicken,Chinese,The flavors were unique
16,Pani Puri,Healthy,I found the meal to be quite average; nothing particularly stood out.
10,Palak Paneer,Seafood,Absolutely loved the spices used; it was a delightful experience!
32,Aloo Gobi,Vegan,The dish was well-prepared and the flavors were spot on!
34,Rabri,Vegan,The texture was perfect
65,Zucchini Noodles,Chinese,but it missed the mark.
63,Malabar Fish Curry,Dessert,It was just alright; I wouldn't go out of my way to have it again.
27,Kachori,Vegan,I enjoyed the freshness of the ingredients; it made a difference.
59,Sweet and Sour Chicken,Seafood,but the food was just average.
22,Fish Fry,Seafood,The ingredients felt fresh
28,Fish Curry,Healthy,The aroma was inviting
20,Aloo Gobi,Dessert,The portion size was generous
59,Palak Paneer,Dessert,I was surprised by how bland the dish turned out to be.
49,Dal Tadka,Snacks,and the taste lived up to expectations.
46,Dahi Puri,Healthy,and I appreciated the creativity behind it.
47,Bhindi Masala,Indian Curry,I was left wanting more; it felt incomplete.
37,Sev Puri,Street Food,I appreciated the effort put into the dish
38,Mac and Cheese,Snacks,I was thrilled with how flavorful it was; a real treat!
36,Rajma,Seafood,and the taste did not disappoint.
64,Pani Puri,Cheesy,I found the meal to be quite average; nothing particularly stood out.
16,Hakka Noodles,Healthy,It was okay
53,Chaat,Snacks,I found it to be too oily for my liking.
10,Chili Chicken,Snacks,I found the meal to be quite average; nothing particularly stood out.
64,Samosa,Healthy,I appreciated the effort put into the dish
28,Ladoo,Indian Curry,The food was decent
68,Paneer Butter Masala,Healthy,It was okay
11,Hakka Noodles,Vegan,It was okay
20,Barfi,Spicy,The ingredients felt fresh
15,Sweet and Sour Chicken,Indian Curry,though not memorable.
30,Kuchcha Aam Ki Barfi,Chinese,making it a memorable dish.
66,Cheesy Pasta,Cheesy,but I think it could use a bit more spice.
59,Malabar Fish Curry,Snacks,I was not a fan of the seasoning; it felt a bit off.
16,Dhokla,Vegan,The portion size was generous
53,Aloo Gobi,Snacks,but the seasoning could improve.
34,Butter Chicken,Healthy,The flavors were unique
65,Butter Chicken,Street Food,The ingredients felt fresh
38,Rasgulla,Healthy,I was surprised by how bland the dish turned out to be.
35,Mutton Rogan Josh,Indian Curry,making it a memorable dish.
55,Fish Curry,Healthy,The flavors were unique
49,Masala Dosa,Chinese,but I wouldn't order it again.
11,Spring Rolls,Vegan,The overall experience was pleasant
19,Palak Chaat,Cheesy,I appreciated the effort put into the dish
57,Dim Sum,Chinese,though not memorable.
13,Mixed Vegetable Stir Fry,Healthy,The aroma was inviting
67,Paneer Tikka Masala,Vegan,but the seasoning could improve.
21,Mutton Rogan Josh,Snacks,The meal was packed with flavor; I can't wait to have it again!
29,Fried Rice,Spicy,I found it to be too oily for my liking.
39,Sprouted Moong Salad,Dessert,and every bite was a joy!
21,Pani Puri,Street Food,but I feel there are better options available.
24,Jalebi,Snacks,I loved the combination of flavors; it was a delightful surprise.
10,Hot and Sour Soup,Seafood,The aroma was inviting
51,Goan Prawn Curry,Snacks,The presentation was impressive
40,Baingan Bharta,Vegan,and I appreciated the creativity behind it.
21,Spring Rolls,Chinese,Absolutely loved the spices used; it was a delightful experience!
22,Murukku,Spicy,The service was excellent
20,Cheese Dosa,Vegan,Absolutely loved the spices used; it was a delightful experience!
50,Aloo Gobi,Spicy,and I appreciated the creativity behind it.
30,Palak Chaat,Healthy,The overall experience was pleasant
62,Bhindi Masala,Cheesy,The dish was average; I expected more based on the hype.
50,Baingan Bharta,Snacks,but I wouldn't order it again.
48,Hot and Sour Soup,Cheesy,I found the meal to be quite average; nothing particularly stood out.
61,Dal Tadka,Seafood,but I think it could use a bit more spice.
30,Kuchcha Aam Ki Barfi,Spicy,The food was decent
13,Paneer Tikka,Dessert,and the taste did not disappoint.
69,Chili Chicken,Street Food,I loved the combination of flavors; it was a delightful surprise.
34,Mutton Rogan Josh,Indian Curry,but I expected more based on the reviews.
25,Ghar Ka Khana,Healthy,The dish was well-prepared and the flavors were spot on!
13,Goan Prawn Curry,Chinese,making it a good value.
38,Fish Fry,Chinese,The service was excellent
28,Vada Pav,Seafood,The meal had great potential but ultimately fell short.
53,Chaat,Vegan,It was okay
68,Cheese Naan,Spicy,I found it to be too oily for my liking.
18,Sev,Spicy,I was surprised by how bland the dish turned out to be.
31,Butter Chicken,Cheesy,and the taste did not disappoint.
14,Chili Chicken,Street Food,It was quite disappointing; I expected a lot more flavor.
37,Cheese Pav Bhaji,Chinese,but I think it could use a bit more spice.
51,Ladoo,Spicy,but I wouldn't order it again.
33,Vegan Pulao,Vegan,It was okay
47,Cheese Dosa,Seafood,The meal was satisfying
39,Dim Sum,Spicy,The meal was satisfying
39,Stuffed Capsicum,Indian Curry,making it a good value.
38,Spicy Prawn Curry,Street Food,making it a good value.
27,Gulab Jamun,Dessert,I was surprised by how bland the dish turned out to be.
38,Stuffed Capsicum,Spicy,I was surprised by how bland the dish turned out to be.
29,Vegetable Chow Mein,Cheesy,I enjoyed it
39,Tandoori Cauliflower,Dessert,The meal was packed with flavor; I can't wait to have it again!
55,Palak Chaat,Cheesy,I was not a fan of the seasoning; it felt a bit off.
43,Fish Curry,Cheesy,The consistency was a bit strange; not what I expected.
58,Tandoori Fish,Vegan,The dish was average; I expected more based on the hype.
14,Palak Paneer,Vegan,The service was excellent
24,Palak Paneer,Dessert,but I think it could use a bit more spice.
61,Salad,Snacks,but it missed the mark.
63,Fish Curry,Vegan,but the food was just average.
16,Pani Puri,Seafood,The overall experience was pleasant
20,Mac and Cheese,Street Food,but the food was just average.
37,Chicken Curry,Healthy,but I expected more based on the reviews.
42,Fish Curry,Dessert,The dish was average; I expected more based on the hype.
38,Vegetable Soup,Street Food,The dish was well-prepared and the flavors were spot on!
32,Manchurian,Healthy,but I wouldn't order it again.
65,Zucchini Noodles,Snacks,making it a good value.
43,Palak Paneer,Seafood,It was okay
67,Grilled Paneer,Dessert,but I wouldn't order it again.
15,Bhel Puri,Cheesy,I enjoyed the freshness of the ingredients; it made a difference.
45,Dhokla,Seafood,It was fine
34,Prawn Masala,Spicy,The consistency was a bit strange; not what I expected.
63,Cheese Pav Bhaji,Dessert,The aroma was inviting
60,Cheese Pav Bhaji,Vegan,a satisfying meal that I would recommend.
24,Prawn Masala,Dessert,but the seasoning could improve.
39,Sweet and Sour Chicken,Indian Curry,I found it to be too oily for my liking.
53,Rabri,Snacks,The aroma was inviting
14,Paneer Tikka Masala,Chinese,and the taste did not disappoint.
53,Vada Pav,Chinese,but it missed the mark.
41,Gajar Halwa,Seafood,I found it to be too oily for my liking.
55,Kheer,Vegan,but I think it could use a bit more spice.
57,Dim Sum,Seafood,but I feel there are better options available.
49,Kuchcha Aam Ki Barfi,Dessert,The ingredients felt fresh
49,Cheese Dosa,Vegan,a satisfying meal that I would recommend.
32,Samosa,Spicy,I appreciated the effort put into the dish
25,Chana Masala,Spicy,a satisfying meal that I would recommend.
60,Cheese Pav Bhaji,Vegan,The overall experience was pleasant
29,Tikki,Spicy,Overall
16,Paneer Tikka,Seafood,It was quite disappointing; I expected a lot more flavor.
45,Crab Masala,Indian Curry,The meal had great potential but ultimately fell short.
65,Crab Masala,Chinese,I found the meal to be quite average; nothing particularly stood out.
40,Chicken Curry,Dessert,The portion size was generous
61,Stuffed Capsicum,Seafood,The food was decent
51,Spicy Szechuan Noodles,Snacks,I enjoyed the freshness of the ingredients; it made a difference.
66,Goan Prawn Curry,Snacks,and every bite was a joy!
62,Dhokla,Street Food,but I think it could use a bit more spice.
63,Kung Pao Chicken,Dessert,and I appreciated the creativity behind it.
69,Vegetable Chow Mein,Cheesy,I was not a fan of the seasoning; it felt a bit off.
42,Hot and Sour Soup,Snacks,The meal was packed with flavor; I can't wait to have it again!
11,Fish Curry,Cheesy,a satisfying meal that I would recommend.
63,Sprouted Moong Salad,Cheesy,I enjoyed it
37,Cheese Pav Bhaji,Indian Curry,The ingredients felt fresh
65,Vegetable Chow Mein,Healthy,I loved the combination of flavors; it was a delightful surprise.
24,Hakka Noodles,Indian Curry,and the taste lived up to expectations.
55,Stuffed Bell Peppers,Cheesy,The ingredients felt fresh
60,Chaat,Vegan,The food was decent
58,Vegan Pulao,Dessert,It was just alright; I wouldn't go out of my way to have it again.
31,Fish Curry,Healthy,The portion size was generous
49,Mutton Rogan Josh,Vegan,Absolutely loved the spices used; it was a delightful experience!
10,Cheesy Garlic Bread,Seafood,making it a memorable dish.
22,Sev,Street Food,I enjoyed the freshness of the ingredients; it made a difference.
55,Spring Rolls,Healthy,The meal was packed with flavor; I can't wait to have it again!
14,Ghar Ka Khana,Chinese,It was just alright; I wouldn't go out of my way to have it again.
31,Jalebi,Spicy,but it missed the mark.
27,Quinoa Pulao,Street Food,The texture was perfect
20,Kachori,Street Food,making it a memorable dish.
47,Tandoori Fish,Cheesy,The flavors were unique
42,Mixed Vegetable Stir Fry,Spicy,I found the meal to be quite average; nothing particularly stood out.
21,Chicken Curry,Healthy,I was left wanting more; it felt incomplete.
11,Grilled Paneer,Seafood,The dish was average; I expected more based on the hype.
49,Kheer,Healthy,I enjoyed it
40,Cheese Pav Bhaji,Spicy,The portion size was generous
19,Mixed Vegetable Stir Fry,Street Food,a satisfying meal that I would recommend.
12,Sprouted Moong Salad,Cheesy,I was thrilled with how flavorful it was; a real treat!
50,Chili Chicken,Snacks,a satisfying meal that I would recommend.
15,Kung Pao Chicken,Cheesy,Overall
44,Manchurian,Vegan,The texture was perfect
44,Jalebi,Chinese,I enjoyed it
43,Goan Prawn Curry,Indian Curry,The portion size was generous
46,Kheer,Dessert,I enjoyed the freshness of the ingredients; it made a difference.
22,Chili Chicken,Healthy,The ingredients felt fresh
69,Dahi Puri,Seafood,and the taste lived up to expectations.
69,Cheese Samosa,Chinese,The service was excellent
64,Gulab Jamun,Seafood,The meal was packed with flavor; I can't wait to have it again!
14,Fish Curry,Chinese,but I feel there are better options available.
58,Spring Rolls,Seafood,The aroma was inviting
10,Spicy Prawn Curry,Cheesy,I was left wanting more; it felt incomplete.
68,Manchurian,Chinese,but I feel there are better options available.
41,Vada Pav,Dessert,making it a good value.
24,Gulab Jamun,Cheesy,I loved the combination of flavors; it was a delightful surprise.
58,Gulab Jamun,Spicy,and every bite was a joy!
29,Pakoras,Vegan,The dish was average; I expected more based on the hype.
53,Chana Masala,Dessert,It was fine
48,Masala Dosa,Indian Curry,though not memorable.
28,Bhel Puri,Spicy,making it a memorable dish.
49,Palak Paneer,Cheesy,making it a good value.
31,Aloo Gobi,Spicy,Absolutely loved the spices used; it was a delightful experience!
34,Chicken Vindaloo,Seafood,I enjoyed the freshness of the ingredients; it made a difference.
46,Oats Upma,Indian Curry,I found the meal to be quite average; nothing particularly stood out.
10,Malabar Fish Curry,Snacks,making it a good value.
52,Kheer,Dessert,I was thrilled with how flavorful it was; a real treat!
70,Dhokla,Vegan,but I think it could use a bit more spice.
57,Tandoori Fish,Cheesy,but the food was just average.
20,Jalebi,Chinese,It was fine
58,Mutton Rogan Josh,Healthy,but I expected more based on the reviews.
52,Pav Bhaji,Snacks,The dish was average; I expected more based on the hype.
41,Hakka Noodles,Dessert,Absolutely loved the spices used; it was a delightful experience!
21,Vada Pav,Chinese,The aroma was inviting
45,Hakka Noodles,Indian Curry,Overall
58,Vegetable Biryani,Dessert,and the taste did not disappoint.
61,Zucchini Noodles,Dessert,The dish was average; I expected more based on the hype.
68,Chana Masala,Seafood,and the taste did not disappoint.
16,Murukku,Chinese,I was not a fan of the seasoning; it felt a bit off.
44,Kuchcha Aam Ki Barfi,Vegan,The presentation was impressive
63,Kheer,Spicy,I found it to be too oily for my liking.
11,Kung Pao Chicken,Vegan,The portion size was generous
49,Fish Tikka,Snacks,Overall
42,Vegetable Chow Mein,Dessert,but I think it could use a bit more spice.
12,Mac and Cheese,Snacks,The dish was well-prepared and the flavors were spot on!
25,Vegetable Biryani,Spicy,I was surprised by how bland the dish turned out to be.
22,Bhindi Masala,Street Food,The food was decent
18,Vegetable Chow Mein,Healthy,The meal was packed with flavor; I can't wait to have it again!
24,Chaat,Spicy,but I feel there are better options available.
12,Vada Pav,Seafood,It was quite disappointing; I expected a lot more flavor.
58,Sev Puri,Street Food,The food was decent
49,Murukku,Street Food,but I think it could use a bit more spice.
41,Bombil Fry,Spicy,Absolutely loved the spices used; it was a delightful experience!
48,Baingan Bharta,Snacks,It was quite disappointing; I expected a lot more flavor.
27,Baingan Bharta,Healthy,making it a good value.
14,Dal Makhani,Vegan,but the food was just average.
28,Oats Upma,Vegan,The service was excellent
41,Palak Paneer,Seafood,I found the meal to be quite average; nothing particularly stood out.
51,Baingan Bharta,Seafood,making it a good value.
48,Sev,Healthy,I was left wanting more; it felt incomplete.
51,Bombil Fry,Healthy,The meal had great potential but ultimately fell short.
68,Malabar Fish Curry,Healthy,I was not a fan of the seasoning; it felt a bit off.
63,Chili Chicken,Street Food,making it a memorable dish.
53,Quinoa Pulao,Seafood,I appreciated the effort put into the dish
52,Mutton Rogan Josh,Dessert,I found the meal to be quite average; nothing particularly stood out.
18,Palak Chaat,Spicy,I was left wanting more; it felt incomplete.
14,Malabar Fish Curry,Chinese,but I think it could use a bit more spice.
13,Prawn Biryani,Street Food,I loved the combination of flavors; it was a delightful surprise.
55,Palak Paneer,Chinese,I was surprised by how bland the dish turned out to be.
31,Rajma,Healthy,I enjoyed the freshness of the ingredients; it made a difference.
69,Spring Rolls,Chinese,I appreciated the effort put into the dish
18,Tandoori Chicken,Cheesy,I enjoyed it
42,Vegetable Chow Mein,Vegan,I enjoyed it
17,Oats Upma,Vegan,but the seasoning could improve.
13,Murukku,Cheesy,The presentation was impressive
67,Kuchcha Aam Ki Barfi,Snacks,but it missed the mark.
33,Grilled Paneer,Spicy,The overall experience was pleasant
48,Mixed Vegetable Stir Fry,Dessert,The food was decent
69,Paneer Tikka,Chinese,The meal was packed with flavor; I can't wait to have it again!
32,Spring Rolls,Seafood,and every bite was a joy!
28,Pakoras,Seafood,I appreciated the effort put into the dish
51,Butter Chicken,Cheesy,I appreciated the effort put into the dish
60,Aloo Tikki,Dessert,though not memorable.
44,Spring Rolls,Seafood,I was surprised by how bland the dish turned out to be.
55,Aloo Gobi,Cheesy,The dish was average; I expected more based on the hype.
63,Pani Puri,Healthy,Absolutely loved the spices used; it was a delightful experience!
65,Bhindi Masala,Indian Curry,The portion size was generous
57,Paneer Tikka,Healthy,The texture was perfect
13,Aloo Tikki Chaat,Street Food,Overall
30,Fish Fry,Dessert,The service was excellent
39,Stuffed Bell Peppers,Dessert,The flavors were unique
40,Zucchini Noodles,Snacks,The texture was perfect
66,Dal Makhani,Spicy,The aroma was inviting
70,Cheesy Pasta,Chinese,It was quite disappointing; I expected a lot more flavor.
36,Palak Chaat,Spicy,The aroma was inviting
69,Dal Makhani,Dessert,The meal was satisfying
32,Palak Chaat,Healthy,a satisfying meal that I would recommend.
45,Mac and Cheese,Spicy,and every bite was a joy!
43,Chana Masala,Dessert,The dish was well-prepared and the flavors were spot on!
65,Pani Puri,Seafood,and the taste lived up to expectations.
16,Peda,Indian Curry,though not memorable.
35,Tandoori Chicken,Dessert,making it a good value.
59,Chicken Curry,Indian Curry,and every bite was a joy!
54,Rabri,Vegan,and the taste did not disappoint.
55,Aloo Tikki,Snacks,The flavors were unique
30,Stuffed Capsicum,Dessert,but I feel there are better options available.
11,Baingan Bharta,Spicy,The meal was packed with flavor; I can't wait to have it again!
38,Sprouted Moong Salad,Street Food,I was surprised by how bland the dish turned out to be.
47,Rajma,Cheesy,but the seasoning could improve.
19,Mixed Vegetable Stir Fry,Healthy,but I feel there are better options available.
43,Ghar Ka Khana,Indian Curry,The food was decent
60,Crab Masala,Street Food,but the food was just average.
39,Masala Dosa,Street Food,though not memorable.
25,Butter Chicken,Healthy,The flavors were unique
23,Jalebi,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
46,Cheese Pav Bhaji,Snacks,The meal was packed with flavor; I can't wait to have it again!
31,Oats Upma,Healthy,The consistency was a bit strange; not what I expected.
15,Vegetable Chow Mein,Seafood,making it a memorable dish.
54,Barfi,Cheesy,The portion size was generous
28,Cheese Dosa,Spicy,but the seasoning could improve.
12,Dahi Puri,Street Food,The ingredients felt fresh
55,Stuffed Capsicum,Dessert,and the taste did not disappoint.
40,Mac and Cheese,Snacks,and the taste lived up to expectations.
63,Cheesy Pasta,Healthy,The food was decent
23,Spicy Szechuan Noodles,Chinese,The service was excellent
53,Spring Rolls,Cheesy,but the food was just average.
20,Methi Paratha,Cheesy,I was thrilled with how flavorful it was; a real treat!
54,Gulab Jamun,Cheesy,The service was excellent
52,Bombil Fry,Cheesy,It was okay
70,Sprouted Moong Salad,Vegan,The meal was satisfying
14,Grilled Paneer,Healthy,but it missed the mark.
39,Mutton Rogan Josh,Healthy,The meal had great potential but ultimately fell short.
35,Baingan Bharta,Chinese,making it a good value.
32,Aloo Tikki,Healthy,though not memorable.
19,Malabar Fish Curry,Snacks,I found the meal to be quite average; nothing particularly stood out.
30,Malabar Fish Curry,Vegan,I appreciated the effort put into the dish
58,Tandoori Cauliflower,Snacks,I appreciated the effort put into the dish
60,Spicy Prawn Curry,Indian Curry,but I feel there are better options available.
17,Pani Puri,Vegan,and the taste did not disappoint.
42,Masala Dosa,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
61,Chaat,Cheesy,The dish was well-prepared and the flavors were spot on!
39,Spring Rolls,Snacks,but I expected more based on the reviews.
64,Kuchcha Aam Ki Barfi,Street Food,but I expected more based on the reviews.
36,Pakoras,Spicy,I found it to be too oily for my liking.
11,Barfi,Street Food,a satisfying meal that I would recommend.
11,Spicy Szechuan Noodles,Dessert,The service was excellent
49,Kadai Paneer,Street Food,making it a good value.
43,Chana Masala,Vegan,I was left wanting more; it felt incomplete.
52,Sweet and Sour Chicken,Chinese,though not memorable.
41,Chana Masala,Vegan,It was okay
12,Kuchcha Aam Ki Barfi,Street Food,The meal was packed with flavor; I can't wait to have it again!
22,Kung Pao Chicken,Indian Curry,The consistency was a bit strange; not what I expected.
61,Cheese Pav Bhaji,Dessert,I found it to be too oily for my liking.
35,Methi Paratha,Chinese,a satisfying meal that I would recommend.
29,Mac and Cheese,Street Food,I loved the combination of flavors; it was a delightful surprise.
64,Sweet and Sour Chicken,Vegan,The food was decent
56,Chili Chicken,Healthy,The aroma was inviting
31,Prawn Masala,Snacks,The aroma was inviting
47,Fish Curry,Dessert,The service was excellent
70,Vegetable Soup,Dessert,making it a memorable dish.
45,Cheese Dosa,Spicy,I was left wanting more; it felt incomplete.
64,Methi Paratha,Cheesy,I enjoyed the freshness of the ingredients; it made a difference.
51,Tandoori Cauliflower,Indian Curry,The dish was well-prepared and the flavors were spot on!
49,Goan Prawn Curry,Indian Curry,The overall experience was pleasant
51,Dal Tadka,Snacks,but I feel there are better options available.
45,Kuchcha Aam Ki Barfi,Street Food,I found the meal to be quite average; nothing particularly stood out.
63,Butter Chicken,Chinese,The meal had great potential but ultimately fell short.
19,Dahi Puri,Spicy,Overall
41,Cheese Dosa,Seafood,but I feel there are better options available.
36,Bhindi Masala,Healthy,I was not a fan of the seasoning; it felt a bit off.
48,Samosa,Chinese,but I expected more based on the reviews.
36,Stuffed Bell Peppers,Healthy,but the food was just average.
19,Vegetable Soup,Cheesy,The service was excellent
39,Kadai Paneer,Spicy,but it missed the mark.
36,Masala Dosa,Snacks,I loved the combination of flavors; it was a delightful surprise.
22,Kachori,Street Food,I found it to be too oily for my liking.
12,Cheesy Veggie Wrap,Street Food,The portion size was generous
44,Cheese Samosa,Indian Curry,I found it to be too oily for my liking.
35,Bhel Puri,Vegan,The consistency was a bit strange; not what I expected.
53,Sweet and Sour Chicken,Vegan,The service was excellent
65,Kung Pao Chicken,Chinese,I found the meal to be quite average; nothing particularly stood out.
29,Aloo Tikki Chaat,Seafood,I enjoyed the freshness of the ingredients; it made a difference.
19,Hakka Noodles,Vegan,The meal was satisfying
60,Rasgulla,Street Food,The aroma was inviting
58,Baingan Bharta,Indian Curry,though not memorable.
43,Aloo Gobi,Indian Curry,though not memorable.
10,Pork Ribs,Healthy,It was quite disappointing; I expected a lot more flavor.
54,Grilled Paneer,Chinese,I was not a fan of the seasoning; it felt a bit off.
10,Peda,Indian Curry,The aroma was inviting
19,Prawn Masala,Chinese,and every bite was a joy!
16,Jalebi,Healthy,Absolutely loved the spices used; it was a delightful experience!
10,Rabri,Dessert,but I wouldn't order it again.
31,Paneer Tikka,Street Food,and the taste lived up to expectations.
42,Manchurian,Street Food,I was thrilled with how flavorful it was; a real treat!
36,Cheese Naan,Dessert,and the taste did not disappoint.
42,Dahi Puri,Vegan,The meal was satisfying
51,Kuchcha Aam Ki Barfi,Cheesy,I was surprised by how bland the dish turned out to be.
12,Spicy Prawn Curry,Spicy,and the taste lived up to expectations.
45,Manchurian,Seafood,The portion size was generous
57,Jalebi,Cheesy,and the taste lived up to expectations.
10,Chili Chicken,Spicy,The meal was packed with flavor; I can't wait to have it again!
25,Stuffed Bell Peppers,Street Food,The food was decent
25,Cheese Samosa,Healthy,I enjoyed it
22,Dal Tadka,Vegan,The aroma was inviting
17,Kachori,Snacks,The food was decent
57,Rasgulla,Vegan,I appreciated the effort put into the dish
35,Cheesy Veggie Wrap,Spicy,I found it to be too oily for my liking.
50,Chili Chicken,Cheesy,The ingredients felt fresh
55,Dal Tadka,Snacks,but I expected more based on the reviews.
56,Ghar Ka Khana,Indian Curry,The texture was perfect
48,Butter Chicken,Street Food,The overall experience was pleasant
63,Aloo Tikki,Cheesy,I was left wanting more; it felt incomplete.
49,Murukku,Spicy,I was surprised by how bland the dish turned out to be.
31,Aloo Tikki,Indian Curry,The dish was average; I expected more based on the hype.
41,Aloo Gobi,Dessert,Overall
37,Pakoras,Indian Curry,The meal had great potential but ultimately fell short.
39,Chaat,Vegan,making it a good value.
22,Pav Bhaji,Seafood,I loved the combination of flavors; it was a delightful surprise.
70,Sweet and Sour Chicken,Chinese,but the seasoning could improve.
10,Ghar Ka Khana,Snacks,The presentation was impressive
58,Chili Chicken,Cheesy,The aroma was inviting
62,Peda,Snacks,and the taste lived up to expectations.
27,Oats Upma,Vegan,I was left wanting more; it felt incomplete.
18,Mac and Cheese,Healthy,The meal was satisfying
37,Goan Prawn Curry,Vegan,but the seasoning could improve.
17,Samosa,Cheesy,I was not a fan of the seasoning; it felt a bit off.
49,Chaat,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
19,Kuchcha Aam Ki Barfi,Spicy,The service was excellent
20,Pork Ribs,Cheesy,I found the meal to be quite average; nothing particularly stood out.
19,Dhokla,Snacks,The presentation was impressive
36,Prawn Masala,Cheesy,though not memorable.
48,Manchurian,Seafood,The food was decent
41,Chana Masala,Dessert,but I feel there are better options available.
65,Cheese Naan,Street Food,The presentation was impressive
55,Rajma,Indian Curry,I enjoyed the freshness of the ingredients; it made a difference.
41,Ladoo,Seafood,The meal was satisfying
29,Pork Ribs,Spicy,I loved the combination of flavors; it was a delightful surprise.
17,Gulab Jamun,Spicy,The meal was satisfying
69,Zucchini Noodles,Vegan,and the taste lived up to expectations.
59,Kheer,Chinese,The texture was perfect
43,Sev Puri,Indian Curry,The texture was perfect
30,Kung Pao Chicken,Seafood,but the seasoning could improve.
67,Crab Masala,Snacks,The overall experience was pleasant
11,Barfi,Snacks,but the food was just average.
62,Manchurian,Seafood,a satisfying meal that I would recommend.
35,Paneer Tikka,Street Food,I enjoyed it
38,Gulab Jamun,Seafood,but the food was just average.
14,Pork Ribs,Seafood,but I think it could use a bit more spice.
20,Malabar Fish Curry,Seafood,It was okay
58,Malabar Fish Curry,Vegan,The flavors were unique
25,Fish Curry,Healthy,The meal was satisfying
64,Tandoori Chicken,Dessert,I enjoyed it
40,Kheer,Dessert,I was thrilled with how flavorful it was; a real treat!
42,Butter Chicken,Snacks,The meal had great potential but ultimately fell short.
26,Chaat,Street Food,making it a memorable dish.
59,Gulab Jamun,Snacks,The ingredients felt fresh
10,Cheesy Veggie Wrap,Chinese,but it missed the mark.
17,Paneer Butter Masala,Dessert,The dish was average; I expected more based on the hype.
28,Spicy Prawn Curry,Snacks,The meal was satisfying
63,Grilled Paneer,Vegan,I loved the combination of flavors; it was a delightful surprise.
45,Cheesy Garlic Bread,Healthy,The food was decent
61,Chaat,Vegan,I enjoyed the freshness of the ingredients; it made a difference.
39,Zucchini Noodles,Dessert,I was not a fan of the seasoning; it felt a bit off.
