"age","food_item","meal_category","region"
"63","Kadai Paneer","Chinese","Maharashtra"
"70","Kheer","Snacks","Tamil Nadu"
"10","Mac and Cheese","Snacks","Gujarat"
"27","Gajar Halwa","Cheesy","Maharashtra"
"33","Vegetable Biryani","Seafood","Karnataka"
"38","Vegetable Biryani","Cheesy","Gujarat"
"54","Cheese Dosa","Street Food","Punjab"
"63","Prawn Biryani","Spicy","West Bengal"
"25","Malabar Fish Curry","Chinese","Karnataka"
"62","Methi Paratha","Cheesy","West Bengal"
"12","Chaat","Indian Curry","Karnataka"
"35","Malabar Fish Curry","Spicy","Gujarat"
"30","Kadai Paneer","Snacks","Karnataka"
"66","Zucchini Noodles","Chinese","Karnataka"
"63","Murukku","Seafood","West Bengal"
"28","Paneer Tikka Masala","Snacks","Uttar Pradesh"
"48","Sweet and Sour Chicken","Healthy","Delhi"
"13","Hot and Sour Soup","Vegan","Maharashtra"
"41","Rasgulla","Snacks","Uttar Pradesh"
"16","Pav Bhaji","Spicy","Tamil Nadu"
"67","Tikki","Healthy","West Bengal"
"56","Chana Masala","Chinese","Kerala"
"51","Chaat","Indian Curry","Karnataka"
"22","Murukku","Street Food","Punjab"
"26","Mac and Cheese","Seafood","Uttar Pradesh"
"35","Bhel Puri","Vegan","Tamil Nadu"
"13","Sev Puri","Cheesy","Punjab"
"63","Crab Masala","Healthy","Gujarat"
"21","Masala Dosa","Seafood","Uttar Pradesh"
"28","Tandoori Fish","Chinese","Maharashtra"
"34","Chana Masala","Seafood","Delhi"
"35","Paneer Butter Masala","Indian Curry","Maharashtra"
"28","Chili Chicken","Dessert","Maharashtra"
"20","Baingan Bharta","Healthy","Delhi"
"62","Dal Makhani","Seafood","Gujarat"
"37","Manchurian","Street Food","Gujarat"
"24","Chicken Vindaloo","Street Food","Tamil Nadu"
"10","Hakka Noodles","Healthy","Gujarat"
"39","Tandoori Cauliflower","Vegan","Uttar Pradesh"
"67","Pani Puri","Spicy","Punjab"
"13","Ladoo","Vegan","Kerala"
"55","Spicy Szechuan Noodles","Street Food","Rajasthan"
"52","Vegetable Biryani","Indian Curry","Tamil Nadu"
"39","Sev","Spicy","Maharashtra"
"30","Pav Bhaji","Cheesy","Rajasthan"
"62","Cheese Samosa","Snacks","Uttar Pradesh"
"16","Kadai Paneer","Snacks","Karnataka"
"47","Mutton Rogan Josh","Vegan","Gujarat"
"33","Sev","Cheesy","West Bengal"
"29","Bombil Fry","Vegan","Tamil Nadu"
"60","Chana Masala","Spicy","Karnataka"
"59","Kheer","Dessert","Karnataka"
"21","Crab Masala","Vegan","Punjab"
"61","Momos","Chinese","Gujarat"
"61","Fish Curry","Vegan","West Bengal"
"52","Bhindi Masala","Vegan","Gujarat"
"60","Cheese Samosa","Dessert","Karnataka"
"18","Gulab Jamun","Snacks","Gujarat"
"57","Vegan Pulao","Cheesy","Delhi"
"42","Tandoori Cauliflower","Healthy","Kerala"
"38","Spicy Szechuan Noodles","Seafood","Tamil Nadu"
"38","Paneer Butter Masala","Healthy","Punjab"
"50","Vegetable Biryani","Cheesy","Uttar Pradesh"
"46","Ghar Ka Khana","Snacks","Tamil Nadu"
"38","Cheesy Veggie Wrap","Dessert","Punjab"
"49","Fish Fry","Indian Curry","Kerala"
"32","Vegetable Soup","Cheesy","Uttar Pradesh"
"45","Chaat","Seafood","Punjab"
"16","Barfi","Spicy","Gujarat"
"25","Prawn Biryani","Chinese","Kerala"
"54","Kuchcha Aam Ki Barfi","Indian Curry","Punjab"
"42","Cheese Dosa","Chinese","Karnataka"
"64","Gulab Jamun","Snacks","Uttar Pradesh"
"38","Bhel Puri","Spicy","Gujarat"
"38","Gulab Jamun","Dessert","West Bengal"
"23","Paneer Tikka","Spicy","Karnataka"
"28","Chicken Vindaloo","Indian Curry","Delhi"
"48","Spring Rolls","Street Food","Karnataka"
"58","Vegetable Biryani","Seafood","Kerala"
"51","Mutton Rogan Josh","Seafood","Gujarat"
"70","Kuchcha Aam Ki Barfi","Healthy","Tamil Nadu"
"18","Prawn Masala","Seafood","Gujarat"
"62","Cheese Dosa","Spicy","Karnataka"
"39","Rabri","Healthy","Delhi"
"56","Vegetable Chow Mein","Healthy","Delhi"
"34","Vada Pav","Cheesy","Delhi"
"24","Tandoori Chicken","Cheesy","Gujarat"
"25","Rabri","Dessert","Rajasthan"
"39","Masala Dosa","Seafood","Karnataka"
"12","Spicy Prawn Curry","Dessert","Karnataka"
"20","Pani Puri","Spicy","Uttar Pradesh"
"56","Kung Pao Chicken","Street Food","Tamil Nadu"
"68","Pakoras","Street Food","Punjab"
"31","Vegetable Biryani","Street Food","Kerala"
"48","Prawn Masala","Cheesy","Uttar Pradesh"
"28","Spring Rolls","Vegan","Rajasthan"
"35","Kheer","Spicy","Karnataka"
"27","Prawn Biryani","Spicy","Punjab"
"66","Prawn Masala","Seafood","Karnataka"
"16","Chicken Curry","Indian Curry","Kerala"
"15","Cheesy Garlic Bread","Indian Curry","Uttar Pradesh"
"24","Chili Chicken","Street Food","Delhi"
"51","Tandoori Cauliflower","Spicy","Rajasthan"
"25","Tikki","Dessert","Gujarat"
"63","Kachori","Chinese","Tamil Nadu"
"19","Stuffed Bell Peppers","Street Food","Punjab"
"15","Aloo Gobi","Dessert","Punjab"
"55","Mutton Rogan Josh","Spicy","Karnataka"
"58","Fish Curry","Cheesy","Kerala"
"63","Bombil Fry","Snacks","Karnataka"
"58","Murukku","Vegan","Tamil Nadu"
"63","Ghar Ka Khana","Spicy","Maharashtra"
"55","Chili Chicken","Healthy","Rajasthan"
"64","Chaat","Seafood","Delhi"
"44","Rasgulla","Snacks","Maharashtra"
"58","Tandoori Chicken","Street Food","Punjab"
"28","Peda","Seafood","Punjab"
"66","Cheese Stuffed Mushroom","Vegan","Maharashtra"
"30","Spring Rolls","Snacks","Uttar Pradesh"
"52","Pani Puri","Cheesy","Gujarat"
"66","Hakka Noodles","Snacks","West Bengal"
"10","Vada Pav","Dessert","Delhi"
"33","Samosa","Snacks","Delhi"
"12","Cheesy Pasta","Chinese","Punjab"
"33","Vegetable Biryani","Indian Curry","Tamil Nadu"
"30","Barfi","Spicy","Delhi"
"14","Sev","Healthy","Rajasthan"
"23","Dahi Puri","Cheesy","Delhi"
"55","Ladoo","Street Food","Karnataka"
"55","Methi Paratha","Vegan","Tamil Nadu"
"25","Quinoa Pulao","Indian Curry","Delhi"
"33","Fish Tikka","Seafood","Rajasthan"
"15","Tandoori Cauliflower","Street Food","Delhi"
"31","Cheesy Pasta","Seafood","West Bengal"
"32","Crab Masala","Snacks","Kerala"
"38","Dhokla","Seafood","Delhi"
"47","Kachori","Spicy","Maharashtra"
"20","Sev Puri","Seafood","Uttar Pradesh"
"66","Sprouted Moong Salad","Healthy","Tamil Nadu"
"48","Salad","Dessert","Punjab"
"48","Pani Puri","Cheesy","Karnataka"
"38","Kung Pao Chicken","Snacks","Tamil Nadu"
"19","Quinoa Pulao","Spicy","Delhi"
"40","Chana Masala","Dessert","Karnataka"
"16","Tikki","Dessert","Punjab"
"16","Fish Curry","Chinese","Uttar Pradesh"
"41","Stuffed Capsicum","Dessert","Delhi"
"30","Vegetable Soup","Seafood","Delhi"
"48","Pani Puri","Vegan","Kerala"
"29","Butter Chicken","Healthy","Tamil Nadu"
"55","Kachori","Indian Curry","Punjab"
"17","Quinoa Pulao","Chinese","Tamil Nadu"
"18","Crab Masala","Chinese","Karnataka"
"40","Gajar Halwa","Dessert","Uttar Pradesh"
"18","Tandoori Chicken","Cheesy","Uttar Pradesh"
"60","Chicken Curry","Indian Curry","Karnataka"
"53","Spring Rolls","Chinese","Kerala"
"19","Chili Chicken","Chinese","Rajasthan"
"43","Cheese Naan","Chinese","Punjab"
"27","Gulab Jamun","Healthy","Rajasthan"
"70","Kachori","Healthy","Karnataka"
"68","Zucchini Noodles","Street Food","Rajasthan"
"58","Peda","Snacks","Kerala"
"30","Bombil Fry","Snacks","Tamil Nadu"
"16","Momos","Cheesy","Delhi"
"47","Kachori","Seafood","Karnataka"
"28","Aloo Gobi","Snacks","Maharashtra"
"20","Cheesy Garlic Bread","Dessert","Maharashtra"
"70","Pork Ribs","Snacks","Punjab"
"34","Butter Chicken","Vegan","Uttar Pradesh"
"40","Sev Puri","Healthy","Uttar Pradesh"
"42","Barfi","Dessert","Kerala"
"55","Manchurian","Street Food","Maharashtra"
"40","Chaat","Cheesy","Delhi"
"54","Samosa","Cheesy","Uttar Pradesh"
"62","Samosa","Indian Curry","Tamil Nadu"
"54","Dahi Puri","Healthy","Kerala"
"15","Cheese Dosa","Seafood","West Bengal"
"41","Tandoori Fish","Chinese","Rajasthan"
"51","Vegetable Chow Mein","Street Food","Maharashtra"
"11","Chili Chicken","Vegan","Delhi"
"25","Bhel Puri","Chinese","Karnataka"
"52","Salad","Dessert","Maharashtra"
"69","Vegetable Soup","Snacks","Gujarat"
"12","Cheese Dosa","Seafood","Rajasthan"
"39","Cheesy Pasta","Seafood","West Bengal"
"36","Stuffed Bell Peppers","Seafood","Kerala"
"38","Salad","Chinese","Uttar Pradesh"
"30","Sev","Vegan","Punjab"
"70","Murukku","Healthy","Uttar Pradesh"
"15","Stuffed Bell Peppers","Spicy","Uttar Pradesh"
"64","Sev","Dessert","Punjab"
"42","Chicken Vindaloo","Cheesy","Kerala"
"60","Chicken Curry","Vegan","Gujarat"
"14","Gajar Halwa","Seafood","Punjab"
"12","Mutton Rogan Josh","Vegan","Uttar Pradesh"
"63","Zucchini Noodles","Vegan","Rajasthan"
"65","Peda","Seafood","Gujarat"
"10","Peda","Cheesy","Uttar Pradesh"
"46","Oats Upma","Snacks","Kerala"
"60","Methi Paratha","Cheesy","Uttar Pradesh"
"39","Sweet and Sour Chicken","Snacks","Rajasthan"
"56","Pork Ribs","Seafood","Punjab"
"61","Rajma","Cheesy","Karnataka"
"52","Sev Puri","Spicy","Uttar Pradesh"
"52","Kheer","Indian Curry","Maharashtra"
"35","Vegetable Biryani","Dessert","Maharashtra"
"28","Cheese Dosa","Snacks","Maharashtra"
"28","Bhindi Masala","Vegan","Maharashtra"
"66","Vegetable Chow Mein","Snacks","Punjab"
"32","Methi Paratha","Seafood","Karnataka"
"61","Fried Rice","Seafood","Gujarat"
"56","Ghar Ka Khana","Seafood","Punjab"
"52","Aloo Tikki","Cheesy","West Bengal"
"30","Gulab Jamun","Chinese","Delhi"
"53","Spicy Szechuan Noodles","Seafood","Delhi"
"57","Kachori","Spicy","Uttar Pradesh"
"14","Murukku","Street Food","Kerala"
"35","Fish Curry","Indian Curry","Tamil Nadu"
"36","Dal Tadka","Dessert","Delhi"
"16","Vegetable Biryani","Street Food","Punjab"
"25","Sweet and Sour Chicken","Street Food","Tamil Nadu"
"68","Aloo Tikki Chaat","Spicy","Rajasthan"
"64","Samosa","Healthy","Uttar Pradesh"
"41","Jalebi","Spicy","Punjab"
"12","Gulab Jamun","Seafood","Uttar Pradesh"
"41","Stuffed Bell Peppers","Chinese","Maharashtra"
"43","Stuffed Bell Peppers","Cheesy","Karnataka"
"25","Vegetable Chow Mein","Indian Curry","Kerala"
"19","Sweet and Sour Chicken","Spicy","Kerala"
"19","Prawn Biryani","Vegan","Punjab"
"29","Dhokla","Indian Curry","Kerala"
"43","Murukku","Spicy","Uttar Pradesh"
"40","Fish Curry","Vegan","Uttar Pradesh"
"22","Hakka Noodles","Snacks","Rajasthan"
"42","Prawn Biryani","Vegan","Punjab"
"13","Tandoori Cauliflower","Indian Curry","Kerala"
"14","Mac and Cheese","Spicy","Maharashtra"
"16","Pork Ribs","Cheesy","Rajasthan"
"10","Palak Paneer","Dessert","Kerala"
"60","Tikki","Seafood","Gujarat"
"59","Momos","Cheesy","West Bengal"
"59","Tandoori Cauliflower","Spicy","Karnataka"
"45","Ghar Ka Khana","Street Food","Karnataka"
"11","Samosa","Dessert","Tamil Nadu"
"53","Vegetable Chow Mein","Indian Curry","West Bengal"
"56","Rajma","Vegan","Tamil Nadu"
"30","Sev Puri","Chinese","Delhi"
"63","Malabar Fish Curry","Snacks","Uttar Pradesh"
"50","Kung Pao Chicken","Spicy","Uttar Pradesh"
"35","Spring Rolls","Street Food","Rajasthan"
"19","Vegan Pulao","Spicy","Gujarat"
"53","Spring Rolls","Dessert","West Bengal"
"17","Pakoras","Healthy","Maharashtra"
"45","Murukku","Snacks","Maharashtra"
"60","Gulab Jamun","Vegan","Rajasthan"
"55","Sweet and Sour Chicken","Dessert","Delhi"
"41","Hot and Sour Soup","Seafood","Kerala"
"58","Stuffed Capsicum","Indian Curry","Kerala"
"34","Paneer Tikka Masala","Healthy","Karnataka"
"13","Aloo Tikki Chaat","Healthy","Tamil Nadu"
"44","Kachori","Spicy","Rajasthan"
"59","Spring Rolls","Vegan","Delhi"
"51","Spicy Szechuan Noodles","Seafood","Kerala"
"46","Tandoori Chicken","Dessert","Delhi"
"41","Oats Upma","Vegan","Kerala"
"22","Murukku","Snacks","Kerala"
"24","Chaat","Snacks","West Bengal"
"42","Tandoori Fish","Dessert","Karnataka"
"64","Bhindi Masala","Dessert","Uttar Pradesh"
"14","Pakoras","Healthy","Rajasthan"
"70","Aloo Tikki","Street Food","Rajasthan"
"10","Bombil Fry","Dessert","Uttar Pradesh"
"20","Rajma Chawal","Cheesy","Punjab"
"61","Vegetable Biryani","Cheesy","Tamil Nadu"
"15","Fish Curry","Seafood","Maharashtra"
"58","Cheesy Garlic Bread","Street Food","Uttar Pradesh"
"57","Sev","Cheesy","Kerala"
"51","Bombil Fry","Healthy","Delhi"
"61","Vegetable Biryani","Cheesy","Punjab"
"38","Fish Curry","Healthy","Kerala"
"18","Samosa","Vegan","West Bengal"
"18","Tandoori Fish","Spicy","Delhi"
"53","Vegan Pulao","Dessert","Maharashtra"
"18","Kachori","Cheesy","Gujarat"
"65","Kadai Paneer","Cheesy","West Bengal"
"28","Butter Chicken","Indian Curry","West Bengal"
"10","Paneer Butter Masala","Spicy","Tamil Nadu"
"27","Prawn Masala","Street Food","Karnataka"
"32","Spicy Prawn Curry","Vegan","Delhi"
"25","Mac and Cheese","Snacks","West Bengal"
"42","Vada Pav","Snacks","Maharashtra"
"48","Samosa","Snacks","Uttar Pradesh"
"35","Gulab Jamun","Dessert","Maharashtra"
"12","Cheese Samosa","Healthy","Tamil Nadu"
"36","Pani Puri","Dessert","Maharashtra"
"11","Cheese Naan","Seafood","West Bengal"
"14","Palak Chaat","Cheesy","Uttar Pradesh"
"10","Momos","Healthy","West Bengal"
"54","Kachori","Snacks","Uttar Pradesh"
"35","Cheesy Pasta","Spicy","Kerala"
"70","Stuffed Capsicum","Healthy","Rajasthan"
"41","Grilled Paneer","Vegan","Tamil Nadu"
"27","Kung Pao Chicken","Street Food","Punjab"
"63","Crab Masala","Street Food","Uttar Pradesh"
"38","Hakka Noodles","Spicy","West Bengal"
"21","Ladoo","Cheesy","Gujarat"
"12","Vegetable Biryani","Spicy","Uttar Pradesh"
"24","Pani Puri","Street Food","Kerala"
"49","Samosa","Chinese","Tamil Nadu"
"16","Kuchcha Aam Ki Barfi","Snacks","Punjab"
"15","Rajma Chawal","Spicy","Tamil Nadu"
"55","Chicken Vindaloo","Spicy","Rajasthan"
"47","Ladoo","Cheesy","Tamil Nadu"
"13","Palak Chaat","Seafood","Tamil Nadu"
"63","Cheese Naan","Dessert","Rajasthan"
"67","Kadai Paneer","Snacks","Uttar Pradesh"
"20","Chana Masala","Dessert","Maharashtra"
"19","Mixed Vegetable Stir Fry","Seafood","Uttar Pradesh"
"53","Fish Fry","Snacks","West Bengal"
"64","Vegan Pulao","Seafood","Karnataka"
"46","Murukku","Healthy","Delhi"
"35","Spicy Szechuan Noodles","Seafood","Gujarat"
"26","Bombil Fry","Seafood","West Bengal"
"36","Fish Tikka","Cheesy","Delhi"
"62","Chaat","Cheesy","Tamil Nadu"
"10","Mixed Vegetable Stir Fry","Healthy","Gujarat"
"39","Vegetable Soup","Cheesy","Maharashtra"
"44","Rabri","Indian Curry","Karnataka"
"26","Sweet and Sour Chicken","Indian Curry","Kerala"
"61","Sev","Cheesy","Kerala"
"38","Pani Puri","Chinese","West Bengal"
"58","Tikki","Street Food","Maharashtra"
"13","Tandoori Chicken","Indian Curry","Gujarat"
"54","Rasgulla","Indian Curry","Delhi"
"33","Crab Masala","Seafood","Karnataka"
"38","Aloo Tikki Chaat","Chinese","Gujarat"
"56","Pani Puri","Healthy","West Bengal"
"58","Momos","Street Food","West Bengal"
"26","Stuffed Bell Peppers","Seafood","Delhi"
"31","Sev Puri","Spicy","Kerala"
"22","Pani Puri","Indian Curry","Punjab"
"43","Paneer Tikka","Cheesy","Uttar Pradesh"
"36","Cheese Dosa","Healthy","Maharashtra"
"63","Tikki","Cheesy","Punjab"
"13","Gajar Halwa","Vegan","Delhi"
"30","Fried Rice","Spicy","Gujarat"
"67","Paneer Tikka Masala","Vegan","Karnataka"
"35","Malabar Fish Curry","Street Food","Punjab"
"20","Pav Bhaji","Spicy","Uttar Pradesh"
"67","Rasgulla","Chinese","Maharashtra"
"55","Dim Sum","Dessert","Maharashtra"
"24","Butter Chicken","Spicy","Punjab"
"60","Chicken Vindaloo","Snacks","Kerala"
"67","Pani Puri","Seafood","Delhi"
"35","Salad","Indian Curry","Delhi"
"53","Dal Tadka","Chinese","West Bengal"
"20","Fried Rice","Spicy","Gujarat"
"55","Salad","Dessert","Gujarat"
"28","Chicken Curry","Indian Curry","West Bengal"
"44","Chana Masala","Healthy","Rajasthan"
"47","Barfi","Chinese","Maharashtra"
"20","Sweet and Sour Chicken","Snacks","Rajasthan"
"46","Chicken Curry","Cheesy","Punjab"
"16","Cheesy Veggie Wrap","Dessert","Uttar Pradesh"
"45","Tandoori Chicken","Seafood","Karnataka"
"66","Quinoa Pulao","Street Food","Kerala"
"33","Mixed Vegetable Stir Fry","Cheesy","West Bengal"
"45","Pav Bhaji","Chinese","Punjab"
"24","Samosa","Indian Curry","Maharashtra"
"20","Vegetable Soup","Street Food","Tamil Nadu"
"20","Bombil Fry","Seafood","Tamil Nadu"
"39","Chaat","Cheesy","Rajasthan"
"11","Paneer Tikka","Vegan","Gujarat"
"41","Chaat","Seafood","Gujarat"
"16","Kheer","Seafood","Tamil Nadu"
"28","Fried Rice","Indian Curry","Kerala"
"32","Spring Rolls","Healthy","Maharashtra"
"13","Bhindi Masala","Spicy","Uttar Pradesh"
"57","Samosa","Indian Curry","Delhi"
"56","Prawn Masala","Cheesy","Punjab"
"25","Ladoo","Street Food","Kerala"
"68","Prawn Biryani","Dessert","Gujarat"
"43","Murukku","Indian Curry","Punjab"
"50","Bombil Fry","Snacks","Uttar Pradesh"
"54","Paneer Tikka Masala","Seafood","Punjab"
"55","Murukku","Indian Curry","Karnataka"
"48","Aloo Gobi","Chinese","Uttar Pradesh"
"17","Rabri","Snacks","Maharashtra"
"47","Butter Chicken","Dessert","Tamil Nadu"
"47","Hakka Noodles","Street Food","Delhi"
"16","Quinoa Pulao","Healthy","Kerala"
"60","Butter Chicken","Vegan","Tamil Nadu"
"29","Cheesy Garlic Bread","Spicy","Rajasthan"
"66","Paneer Tikka Masala","Dessert","Gujarat"
"43","Dahi Puri","Spicy","Maharashtra"
"60","Pav Bhaji","Chinese","Kerala"
"35","Ghar Ka Khana","Seafood","West Bengal"
"46","Pani Puri","Seafood","West Bengal"
"66","Gulab Jamun","Spicy","Punjab"
"20","Vada Pav","Cheesy","Uttar Pradesh"
"50","Rabri","Vegan","Uttar Pradesh"
"32","Peda","Dessert","Rajasthan"
"26","Tandoori Fish","Seafood","Rajasthan"
"61","Cheesy Garlic Bread","Healthy","Delhi"
"55","Bhindi Masala","Spicy","Maharashtra"
"56","Murukku","Dessert","Karnataka"
"70","Hot and Sour Soup","Spicy","Delhi"
"12","Chili Chicken","Dessert","Tamil Nadu"
"15","Jalebi","Vegan","Delhi"
"65","Cheese Naan","Vegan","Punjab"
"34","Gulab Jamun","Chinese","Uttar Pradesh"
"36","Dal Makhani","Seafood","Karnataka"
"31","Hot and Sour Soup","Healthy","Gujarat"
"36","Bhindi Masala","Spicy","Maharashtra"
"42","Prawn Biryani","Chinese","West Bengal"
"65","Tandoori Cauliflower","Healthy","West Bengal"
"55","Hakka Noodles","Snacks","Maharashtra"
"45","Quinoa Pulao","Seafood","Gujarat"
"10","Fried Rice","Dessert","Delhi"
"58","Cheesy Veggie Wrap","Cheesy","West Bengal"
"37","Dal Tadka","Vegan","West Bengal"
"26","Hot and Sour Soup","Chinese","Punjab"
"31","Palak Chaat","Healthy","Punjab"
"58","Chicken Vindaloo","Chinese","West Bengal"
"18","Peda","Chinese","Kerala"
"42","Salad","Vegan","Tamil Nadu"
"37","Fish Tikka","Street Food","Karnataka"
"20","Chili Chicken","Vegan","Gujarat"
"21","Chana Masala","Healthy","Gujarat"
